Variable,Year,Value,RSE,Industry
Value of land and fixed improvements ($),1990,1686310.0,6.0,Dairy
Vet fees ($),1990,1350.0,14.0,Dairy
Wages for hired labor ($),1990,8830.0,12.0,Dairy
Water charges ($),1990,3380.0,11.0,Dairy
AI stud fees and herd testing ($),1990,720.0,81.0,Mixed
Accounting services ($),1990,3180.0,6.0,Mixed
Advisory services ($),1990,500.0,56.0,Mixed
Age of owner manager (yrs),1990,50.0,2.0,Mixed
Age of spouse (yrs),1990,48.0,2.0,Mixed
Agistment ($),1990,550.0,25.0,Mixed
Area operated at 30 June (ha),1990,1540.0,5.0,Mixed
Barley area sown (ha),1990,66.0,9.0,Mixed
Barley produced (t),1990,124.0,10.0,Mixed
Barley receipts ($),1990,43010.0,11.0,Mixed
Beef bulls at 30 June (no.),1990,1.0,23.0,Mixed
Beef calves at 30 June (no.),1990,17.0,12.0,Mixed
Beef cattle purchased ($),1990,10880.0,26.0,Mixed
Beef cattle purchased (no.),1990,12.0,30.0,Mixed
Beef cattle receipts ($),1990,40990.0,12.0,Mixed
Beef cattle sold (no.),1990,33.0,12.0,Mixed
Beef cattle transferred off farm (no.),1990,0.0,96.0,Mixed
Beef cattle transferred onto farm (no.),1990,0.0,103.0,Mixed
Beef cows at 30 June (no.),1990,24.0,11.0,Mixed
Beef heifers at 30 June (no.),1990,5.0,18.0,Mixed
Beef herd at 30 June (no.),1990,62.0,11.0,Mixed
Branding rate (%),1990,82.8,3.0,Mixed
Buildup in trading stocks ($),1990,4830.0,74.0,Mixed
Canola area sown (ha),1990,1.0,51.0,Mixed
Canola produced (t),1990,1.0,61.0,Mixed
Canola receipts ($),1990,980.0,63.0,Mixed
Capital appreciation ($),1990,-242600.0,26.0,Mixed
Capital at 1 July ($),1990,2567740.0,5.0,Mixed
Change in farm debt ($),1990,35800.0,34.0,Mixed
Contracts - cropping ($),1990,9730.0,11.0,Mixed
Contracts - livestock ($),1990,590.0,23.0,Mixed
Cotton receipts ($),1990,800.0,96.0,Mixed
Crop and pasture chemicals ($),1990,25220.0,20.0,Mixed
Dairy cattle at June 30 (no.),1990,1.0,75.0,Mixed
Depreciation ($),1990,56210.0,6.0,Mixed
Electricity ($),1990,3360.0,6.0,Mixed
Equity ratio at 30 June (%),1990,85.0,1.0,Mixed
Ewes at 30 June (no.),1990,1060.0,6.0,Mixed
Family share of farm income ($),1990,60800.0,11.0,Mixed
Farm business debt at 30 June ($),1990,339430.0,7.0,Mixed
Farm business equity June 30 ($),1990,1990920.0,6.0,Mixed
Farm business profit ($),1990,24960.0,42.0,Mixed
Farm cash income ($),1990,154400.0,7.0,Mixed
Farm liquid assets at 30 June ($),1990,111570.0,17.0,Mixed
Fertiliser ($),1990,35620.0,6.0,Mixed
Field peas area sown (ha),1990,10.0,23.0,Mixed
Field peas produced (t),1990,9.0,25.0,Mixed
Field peas receipts ($),1990,5770.0,26.0,Mixed
Fodder ($),1990,4540.0,23.0,Mixed
Fuel oil and grease ($),1990,30710.0,5.0,Mixed
Grain legumes area sown (ha),1990,39.0,16.0,Mixed
Grain legumes produced (t),1990,35.0,16.0,Mixed
Grain legumes receipts ($),1990,16280.0,18.0,Mixed
Handling and marketing ($),1990,28410.0,5.0,Mixed
Hours worked on farm - total (hrsperwk),1990,,,Mixed
Hours worked on farm by owner manager (hrsperwk),1990,,,Mixed
Hours worked on farm by spouse (hrsperwk),1990,,,Mixed
Imputed labor cost ($),1990,78060.0,5.0,Mixed
Insurance ($),1990,8810.0,6.0,Mixed
Interest paid ($),1990,47920.0,8.0,Mixed
Lambs at 30 June (no.),1990,572.0,7.0,Mixed
Land rent ($),1990,5780.0,23.0,Mixed
Leasing charges ($),1990,11640.0,24.0,Mixed
Livestock materials ($),1990,7290.0,10.0,Mixed
Livestock transfers - inwards ($),1990,1410.0,59.0,Mixed
Livestock transfers - outward ($),1990,420.0,54.0,Mixed
Lupins area sown (ha),1990,26.0,23.0,Mixed
Lupins produced (t),1990,24.0,21.0,Mixed
Lupins receipts ($),1990,8560.0,27.0,Mixed
Net capital additions ($),1990,90530.0,20.0,Mixed
Oats area sown (ha),1990,44.0,13.0,Mixed
Oats produced (t),1990,47.0,14.0,Mixed
Oats receipts ($),1990,7000.0,23.0,Mixed
Off farm contracts ($),1990,10620.0,31.0,Mixed
Off farm sharefarming ($),1990,12360.0,27.0,Mixed
Off-farm work for owner manager (hrsperwk),1990,0.0,41.0,Mixed
Off-farm work for spouse (hrsperwk),1990,3.0,26.0,Mixed
Oilseeds area sown (ha),1990,6.0,31.0,Mixed
Oilseeds produced (t),1990,5.0,34.0,Mixed
Oilseeds receipts ($),1990,4050.0,35.0,Mixed
Other administration expenses ($),1990,5610.0,6.0,Mixed
Other farm income ($),1990,14490.0,15.0,Mixed
Other livestock purchased ($),1990,520.0,39.0,Mixed
Other livestock receipts ($),1990,6820.0,34.0,Mixed
Other materials ($),1990,3440.0,11.0,Mixed
Other services ($),1990,12730.0,11.0,Mixed
Payments to sharefarmers ($),1990,7370.0,27.0,Mixed
Population,1990,21022.0,,Mixed
Produce purchased for resale ($),1990,20.0,95.0,Mixed
Profit at full equity ($),1990,85800.0,13.0,Mixed
Profit at full equity including capital appreciation ($),1990,-156790.0,40.0,Mixed
Rams at 30 June (no.),1990,30.0,12.0,Mixed
Rate of return ex. capital appreciation (%),1990,3.6,12.0,Mixed
Rate of return inc. capital appreciation (%),1990,-6.6,40.0,Mixed
Repairs and maintenance ($),1990,40050.0,6.0,Mixed
Rice area sown (ha),1990,4.0,22.0,Mixed
Sample Contributing,1990,233.0,,Mixed
Seed ($),1990,4750.0,9.0,Mixed
Shearing crutching ($),1990,16540.0,8.0,Mixed
Sheep and lambs shorn (no.),1990,2506.0,6.0,Mixed
Sheep flock at 30 June (no.),1990,2287.0,6.0,Mixed
Sheep purchased ($),1990,12660.0,12.0,Mixed
Sheep purchased (no.),1990,159.0,14.0,Mixed
Sheep receipts ($),1990,38200.0,12.0,Mixed
Sheep sold (no.),1990,691.0,6.0,Mixed
Shire and PPB rates ($),1990,8980.0,5.0,Mixed
Sorghum area sown (ha),1990,6.0,33.0,Mixed
Sorghum produced (t),1990,10.0,38.0,Mixed
Sorghum receipts ($),1990,3990.0,33.0,Mixed
Steers and other beef cattle at 30 June (no.),1990,14.0,17.0,Mixed
Stores and rations ($),1990,230.0,35.0,Mixed
Telephone ($),1990,2950.0,5.0,Mixed
Total area cropped (ha),1990,454.0,5.0,Mixed
Total area irrigated (ha),1990,13.0,19.0,Mixed
Total cash costs ($),1990,391340.0,5.0,Mixed
Total cash receipts ($),1990,545740.0,4.0,Mixed
Total closing capital ($),1990,2367140.0,5.0,Mixed
Total crop gross receipts ($),1990,263080.0,5.0,Mixed
Total family income ($),1990,92760.0,8.0,Mixed
Total freight ($),1990,23430.0,6.0,Mixed
Total labor used (weeks),1990,121.0,5.0,Mixed
Total non farm income ($),1990,22760.0,11.0,Mixed
Total off farm wages ($),1990,5410.0,24.0,Mixed
Total wool sold (kg),1990,11927.0,6.0,Mixed
Value of land and fixed improvements ($),1990,1902620.0,5.0,Mixed
Vet fees ($),1990,260.0,22.0,Mixed
Wages for hired labor ($),1990,11930.0,17.0,Mixed
Water charges ($),1990,3040.0,19.0,Mixed
Wethers at 30 June (no.),1990,624.0,10.0,Mixed
Wheat area sown (ha),1990,253.0,6.0,Mixed
Wheat produced (t),1990,390.0,7.0,Mixed
Wheat receipts ($),1990,166480.0,7.0,Mixed
Wheat sold (t),1990,377.0,7.0,Mixed
Wool cut per head (kg),1990,4.7,2.0,Mixed
Wool produced (kg),1990,11852.0,6.0,Mixed
Wool receipts ($),1990,158730.0,7.0,Mixed
AI stud fees and herd testing ($),1990,440.0,33.0,Sheep
Accounting services ($),1990,3000.0,6.0,Sheep
Advisory services ($),1990,320.0,28.0,Sheep
Age of owner manager (yrs),1990,53.0,2.0,Sheep
Age of spouse (yrs),1990,49.0,2.0,Sheep
Agistment ($),1990,2830.0,79.0,Sheep
Area operated at 30 June (ha),1990,4983.0,11.0,Sheep
Barley area sown (ha),1990,5.0,22.0,Sheep
Barley produced (t),1990,9.0,27.0,Sheep
Barley receipts ($),1990,2960.0,29.0,Sheep
Beef bulls at 30 June (no.),1990,2.0,12.0,Sheep
Beef calves at 30 June (no.),1990,17.0,9.0,Sheep
Beef cattle purchased ($),1990,6960.0,18.0,Sheep
Beef cattle purchased (no.),1990,7.0,20.0,Sheep
Beef cattle receipts ($),1990,31390.0,10.0,Sheep
Beef cattle sold (no.),1990,30.0,10.0,Sheep
Beef cattle transferred off farm (no.),1990,0.0,80.0,Sheep
Beef cattle transferred onto farm (no.),1990,0.0,59.0,Sheep
Beef cows at 30 June (no.),1990,31.0,8.0,Sheep
Beef heifers at 30 June (no.),1990,7.0,10.0,Sheep
Beef herd at 30 June (no.),1990,63.0,7.0,Sheep
Branding rate (%),1990,82.9,2.0,Sheep
Buildup in trading stocks ($),1990,10060.0,35.0,Sheep
Canola area sown (ha),1990,0.0,107.0,Sheep
Canola produced (t),1990,0.0,107.0,Sheep
Canola receipts ($),1990,50.0,107.0,Sheep
Capital appreciation ($),1990,-144730.0,19.0,Sheep
Capital at 1 July ($),1990,2636480.0,3.0,Sheep
Change in farm debt ($),1990,31120.0,35.0,Sheep
Contracts - cropping ($),1990,2650.0,14.0,Sheep
Contracts - livestock ($),1990,1170.0,24.0,Sheep
Cotton receipts ($),1990,0.0,,Sheep
Crop and pasture chemicals ($),1990,3440.0,14.0,Sheep
Dairy cattle at June 30 (no.),1990,0.0,,Sheep
Depreciation ($),1990,36150.0,4.0,Sheep
Electricity ($),1990,3210.0,7.0,Sheep
Equity ratio at 30 June (%),1990,90.0,1.0,Sheep
Ewes at 30 June (no.),1990,1732.0,4.0,Sheep
Family share of farm income ($),1990,44310.0,14.0,Sheep
Farm business debt at 30 June ($),1990,255280.0,10.0,Sheep
Farm business equity June 30 ($),1990,2198770.0,3.0,Sheep
Farm business profit ($),1990,18270.0,41.0,Sheep
Farm cash income ($),1990,113020.0,6.0,Sheep
Farm liquid assets at 30 June ($),1990,122680.0,13.0,Sheep
Fertiliser ($),1990,14790.0,6.0,Sheep
Field peas area sown (ha),1990,1.0,72.0,Sheep
Field peas produced (t),1990,1.0,72.0,Sheep
Field peas receipts ($),1990,370.0,72.0,Sheep
Fodder ($),1990,6460.0,11.0,Sheep
Fuel oil and grease ($),1990,14780.0,5.0,Sheep
Grain legumes area sown (ha),1990,2.0,34.0,Sheep
Grain legumes produced (t),1990,3.0,39.0,Sheep
Grain legumes receipts ($),1990,910.0,43.0,Sheep
Handling and marketing ($),1990,23530.0,3.0,Sheep
Hours worked on farm - total (hrsperwk),1990,,,Sheep
Hours worked on farm by owner manager (hrsperwk),1990,,,Sheep
Hours worked on farm by spouse (hrsperwk),1990,,,Sheep
Imputed labor cost ($),1990,68650.0,3.0,Sheep
Insurance ($),1990,5890.0,4.0,Sheep
Interest paid ($),1990,39340.0,10.0,Sheep
Lambs at 30 June (no.),1990,798.0,4.0,Sheep
Land rent ($),1990,3070.0,19.0,Sheep
Leasing charges ($),1990,5210.0,17.0,Sheep
Livestock materials ($),1990,11490.0,5.0,Sheep
Livestock transfers - inwards ($),1990,630.0,39.0,Sheep
Livestock transfers - outward ($),1990,860.0,64.0,Sheep
Lupins area sown (ha),1990,2.0,38.0,Sheep
Lupins produced (t),1990,2.0,46.0,Sheep
Lupins receipts ($),1990,540.0,53.0,Sheep
Net capital additions ($),1990,65030.0,20.0,Sheep
Oats area sown (ha),1990,15.0,14.0,Sheep
Oats produced (t),1990,19.0,12.0,Sheep
Oats receipts ($),1990,1870.0,23.0,Sheep
Off farm contracts ($),1990,4070.0,28.0,Sheep
Off farm sharefarming ($),1990,1580.0,39.0,Sheep
Off-farm work for owner manager (hrsperwk),1990,4.0,26.0,Sheep
Off-farm work for spouse (hrsperwk),1990,4.0,22.0,Sheep
Oilseeds area sown (ha),1990,1.0,29.0,Sheep
Oilseeds produced (t),1990,1.0,38.0,Sheep
Oilseeds receipts ($),1990,560.0,37.0,Sheep
Other administration expenses ($),1990,4760.0,8.0,Sheep
Other farm income ($),1990,8190.0,11.0,Sheep
Other livestock purchased ($),1990,170.0,42.0,Sheep
Other livestock receipts ($),1990,2530.0,36.0,Sheep
Other materials ($),1990,4170.0,8.0,Sheep
Other services ($),1990,9880.0,7.0,Sheep
Payments to sharefarmers ($),1990,490.0,78.0,Sheep
Population,1990,25241.0,,Sheep
Produce purchased for resale ($),1990,0.0,,Sheep
Profit at full equity ($),1990,63840.0,11.0,Sheep
Profit at full equity including capital appreciation ($),1990,-80890.0,37.0,Sheep
Rams at 30 June (no.),1990,47.0,8.0,Sheep
Rate of return ex. capital appreciation (%),1990,2.5,10.0,Sheep
Rate of return inc. capital appreciation (%),1990,-3.2,37.0,Sheep
Repairs and maintenance ($),1990,28300.0,4.0,Sheep
Rice area sown (ha),1990,0.0,,Sheep
Sample Contributing,1990,301.0,,Sheep
Seed ($),1990,2140.0,11.0,Sheep
Shearing crutching ($),1990,26610.0,5.0,Sheep
Sheep and lambs shorn (no.),1990,3887.0,3.0,Sheep
Sheep flock at 30 June (no.),1990,3734.0,3.0,Sheep
Sheep purchased ($),1990,19030.0,8.0,Sheep
Sheep purchased (no.),1990,266.0,11.0,Sheep
Sheep receipts ($),1990,51860.0,6.0,Sheep
Sheep sold (no.),1990,960.0,4.0,Sheep
Shire and PPB rates ($),1990,7750.0,4.0,Sheep
Sorghum area sown (ha),1990,0.0,109.0,Sheep
Sorghum produced (t),1990,0.0,109.0,Sheep
Sorghum receipts ($),1990,40.0,109.0,Sheep
Steers and other beef cattle at 30 June (no.),1990,6.0,12.0,Sheep
Stores and rations ($),1990,1170.0,14.0,Sheep
Telephone ($),1990,2580.0,5.0,Sheep
Total area cropped (ha),1990,60.0,10.0,Sheep
Total area irrigated (ha),1990,15.0,25.0,Sheep
Total cash costs ($),1990,279940.0,4.0,Sheep
Total cash receipts ($),1990,392960.0,3.0,Sheep
Total closing capital ($),1990,2529790.0,3.0,Sheep
Total crop gross receipts ($),1990,24920.0,18.0,Sheep
Total family income ($),1990,94200.0,7.0,Sheep
Total freight ($),1990,7140.0,7.0,Sheep
Total labor used (weeks),1990,109.0,3.0,Sheep
Total non farm income ($),1990,41460.0,10.0,Sheep
Total off farm wages ($),1990,17550.0,19.0,Sheep
Total wool sold (kg),1990,18440.0,3.0,Sheep
Value of land and fixed improvements ($),1990,2152170.0,3.0,Sheep
Vet fees ($),1990,500.0,27.0,Sheep
Wages for hired labor ($),1990,15180.0,11.0,Sheep
Water charges ($),1990,860.0,62.0,Sheep
Wethers at 30 June (no.),1990,1158.0,5.0,Sheep
Wheat area sown (ha),1990,14.0,21.0,Sheep
Wheat produced (t),1990,23.0,25.0,Sheep
Wheat receipts ($),1990,9460.0,26.0,Sheep
Wheat sold (t),1990,21.0,26.0,Sheep
Wool cut per head (kg),1990,4.8,2.0,Sheep
Wool produced (kg),1990,18503.0,3.0,Sheep
Wool receipts ($),1990,267570.0,3.0,Sheep
AI stud fees and herd testing ($),1990,370.0,35.0,Sheep-Beef
Accounting services ($),1990,3150.0,13.0,Sheep-Beef
Advisory services ($),1990,110.0,79.0,Sheep-Beef
Age of owner manager (yrs),1990,55.0,4.0,Sheep-Beef
Age of spouse (yrs),1990,49.0,3.0,Sheep-Beef
Agistment ($),1990,2200.0,26.0,Sheep-Beef
Area operated at 30 June (ha),1990,3603.0,25.0,Sheep-Beef
Barley area sown (ha),1990,2.0,48.0,Sheep-Beef
Barley produced (t),1990,2.0,58.0,Sheep-Beef
Barley receipts ($),1990,900.0,66.0,Sheep-Beef
Beef bulls at 30 June (no.),1990,7.0,14.0,Sheep-Beef
Beef calves at 30 June (no.),1990,80.0,9.0,Sheep-Beef
Beef cattle purchased ($),1990,52810.0,32.0,Sheep-Beef
Beef cattle purchased (no.),1990,54.0,33.0,Sheep-Beef
Beef cattle receipts ($),1990,156570.0,14.0,Sheep-Beef
Beef cattle sold (no.),1990,135.0,12.0,Sheep-Beef
Beef cattle transferred off farm (no.),1990,1.0,65.0,Sheep-Beef
Beef cattle transferred onto farm (no.),1990,0.0,,Sheep-Beef
Beef cows at 30 June (no.),1990,123.0,10.0,Sheep-Beef
Beef heifers at 30 June (no.),1990,27.0,12.0,Sheep-Beef
Beef herd at 30 June (no.),1990,281.0,9.0,Sheep-Beef
Branding rate (%),1990,86.3,1.0,Sheep-Beef
Buildup in trading stocks ($),1990,14050.0,54.0,Sheep-Beef
Canola area sown (ha),1990,0.0,,Sheep-Beef
Canola produced (t),1990,0.0,,Sheep-Beef
Canola receipts ($),1990,0.0,,Sheep-Beef
Capital appreciation ($),1990,-144400.0,36.0,Sheep-Beef
Capital at 1 July ($),1990,2725130.0,7.0,Sheep-Beef
Change in farm debt ($),1990,17930.0,36.0,Sheep-Beef
Contracts - cropping ($),1990,1990.0,23.0,Sheep-Beef
Contracts - livestock ($),1990,1650.0,60.0,Sheep-Beef
Cotton receipts ($),1990,0.0,,Sheep-Beef
Crop and pasture chemicals ($),1990,2920.0,31.0,Sheep-Beef
Dairy cattle at June 30 (no.),1990,0.0,124.0,Sheep-Beef
Depreciation ($),1990,30790.0,10.0,Sheep-Beef
Electricity ($),1990,2610.0,14.0,Sheep-Beef
Equity ratio at 30 June (%),1990,93.0,1.0,Sheep-Beef
Ewes at 30 June (no.),1990,1105.0,11.0,Sheep-Beef
Family share of farm income ($),1990,39500.0,21.0,Sheep-Beef
Farm business debt at 30 June ($),1990,167420.0,15.0,Sheep-Beef
Farm business equity June 30 ($),1990,2303470.0,8.0,Sheep-Beef
Farm business profit ($),1990,9290.0,134.0,Sheep-Beef
Farm cash income ($),1990,91480.0,14.0,Sheep-Beef
Farm liquid assets at 30 June ($),1990,146790.0,25.0,Sheep-Beef
Fertiliser ($),1990,16080.0,13.0,Sheep-Beef
Field peas area sown (ha),1990,5.0,84.0,Sheep-Beef
Field peas produced (t),1990,4.0,87.0,Sheep-Beef
Field peas receipts ($),1990,1860.0,89.0,Sheep-Beef
Fodder ($),1990,5610.0,22.0,Sheep-Beef
Fuel oil and grease ($),1990,12770.0,11.0,Sheep-Beef
Grain legumes area sown (ha),1990,5.0,81.0,Sheep-Beef
Grain legumes produced (t),1990,5.0,83.0,Sheep-Beef
Grain legumes receipts ($),1990,1870.0,88.0,Sheep-Beef
Handling and marketing ($),1990,21020.0,11.0,Sheep-Beef
Hours worked on farm - total (hrsperwk),1990,,,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),1990,,,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),1990,,,Sheep-Beef
Imputed labor cost ($),1990,65430.0,6.0,Sheep-Beef
Insurance ($),1990,4620.0,12.0,Sheep-Beef
Interest paid ($),1990,27610.0,15.0,Sheep-Beef
Lambs at 30 June (no.),1990,468.0,13.0,Sheep-Beef
Land rent ($),1990,2660.0,37.0,Sheep-Beef
Leasing charges ($),1990,1670.0,36.0,Sheep-Beef
Livestock materials ($),1990,12050.0,14.0,Sheep-Beef
Livestock transfers - inwards ($),1990,50.0,92.0,Sheep-Beef
Livestock transfers - outward ($),1990,740.0,49.0,Sheep-Beef
Lupins area sown (ha),1990,0.0,64.0,Sheep-Beef
Lupins produced (t),1990,0.0,61.0,Sheep-Beef
Lupins receipts ($),1990,10.0,124.0,Sheep-Beef
Net capital additions ($),1990,11460.0,276.0,Sheep-Beef
Oats area sown (ha),1990,16.0,25.0,Sheep-Beef
Oats produced (t),1990,7.0,60.0,Sheep-Beef
Oats receipts ($),1990,470.0,56.0,Sheep-Beef
Off farm contracts ($),1990,1260.0,81.0,Sheep-Beef
Off farm sharefarming ($),1990,170.0,115.0,Sheep-Beef
Off-farm work for owner manager (hrsperwk),1990,4.0,60.0,Sheep-Beef
Off-farm work for spouse (hrsperwk),1990,5.0,31.0,Sheep-Beef
Oilseeds area sown (ha),1990,1.0,63.0,Sheep-Beef
Oilseeds produced (t),1990,0.0,104.0,Sheep-Beef
Oilseeds receipts ($),1990,380.0,76.0,Sheep-Beef
Other administration expenses ($),1990,3810.0,12.0,Sheep-Beef
Other farm income ($),1990,8640.0,20.0,Sheep-Beef
Other livestock purchased ($),1990,250.0,54.0,Sheep-Beef
Other livestock receipts ($),1990,1280.0,57.0,Sheep-Beef
Other materials ($),1990,3190.0,12.0,Sheep-Beef
Other services ($),1990,10450.0,12.0,Sheep-Beef
Payments to sharefarmers ($),1990,1670.0,49.0,Sheep-Beef
Population,1990,9290.0,,Sheep-Beef
Produce purchased for resale ($),1990,300.0,89.0,Sheep-Beef
Profit at full equity ($),1990,40260.0,30.0,Sheep-Beef
Profit at full equity including capital appreciation ($),1990,-104150.0,48.0,Sheep-Beef
Rams at 30 June (no.),1990,30.0,17.0,Sheep-Beef
Rate of return ex. capital appreciation (%),1990,1.6,27.0,Sheep-Beef
Rate of return inc. capital appreciation (%),1990,-4.0,48.0,Sheep-Beef
Repairs and maintenance ($),1990,28220.0,17.0,Sheep-Beef
Rice area sown (ha),1990,0.0,,Sheep-Beef
Sample Contributing,1990,141.0,,Sheep-Beef
Seed ($),1990,1850.0,18.0,Sheep-Beef
Shearing crutching ($),1990,15410.0,13.0,Sheep-Beef
Sheep and lambs shorn (no.),1990,2340.0,10.0,Sheep-Beef
Sheep flock at 30 June (no.),1990,2200.0,9.0,Sheep-Beef
Sheep purchased ($),1990,16370.0,21.0,Sheep-Beef
Sheep purchased (no.),1990,266.0,24.0,Sheep-Beef
Sheep receipts ($),1990,47480.0,15.0,Sheep-Beef
Sheep sold (no.),1990,816.0,13.0,Sheep-Beef
Shire and PPB rates ($),1990,7350.0,9.0,Sheep-Beef
Sorghum area sown (ha),1990,1.0,93.0,Sheep-Beef
Sorghum produced (t),1990,1.0,93.0,Sheep-Beef
Sorghum receipts ($),1990,400.0,128.0,Sheep-Beef
Steers and other beef cattle at 30 June (no.),1990,45.0,19.0,Sheep-Beef
Stores and rations ($),1990,780.0,15.0,Sheep-Beef
Telephone ($),1990,2460.0,11.0,Sheep-Beef
Total area cropped (ha),1990,58.0,23.0,Sheep-Beef
Total area irrigated (ha),1990,14.0,38.0,Sheep-Beef
Total cash costs ($),1990,287060.0,11.0,Sheep-Beef
Total cash receipts ($),1990,378530.0,10.0,Sheep-Beef
Total closing capital ($),1990,2573210.0,7.0,Sheep-Beef
Total crop gross receipts ($),1990,16790.0,46.0,Sheep-Beef
Total family income ($),1990,81580.0,11.0,Sheep-Beef
Total freight ($),1990,7030.0,21.0,Sheep-Beef
Total labor used (weeks),1990,107.0,8.0,Sheep-Beef
Total non farm income ($),1990,36810.0,12.0,Sheep-Beef
Total off farm wages ($),1990,14370.0,29.0,Sheep-Beef
Total wool sold (kg),1990,10167.0,11.0,Sheep-Beef
Value of land and fixed improvements ($),1990,2116840.0,7.0,Sheep-Beef
Vet fees ($),1990,560.0,29.0,Sheep-Beef
Wages for hired labor ($),1990,13940.0,21.0,Sheep-Beef
Water charges ($),1990,1500.0,48.0,Sheep-Beef
Wethers at 30 June (no.),1990,596.0,13.0,Sheep-Beef
Wheat area sown (ha),1990,11.0,60.0,Sheep-Beef
Wheat produced (t),1990,22.0,66.0,Sheep-Beef
Wheat receipts ($),1990,9370.0,66.0,Sheep-Beef
Wheat sold (t),1990,20.0,68.0,Sheep-Beef
Wool cut per head (kg),1990,4.4,4.0,Sheep-Beef
Wool produced (kg),1990,10199.0,11.0,Sheep-Beef
Wool receipts ($),1990,145620.0,12.0,Sheep-Beef
AI stud fees and herd testing ($),1991,330.0,19.0,All Broadacre
